load_id,report_date,load_type,load_time,load_weight,dropoff_site,route_type,route_number
270842,21/03/2008,RECYCLING - PAPER,21/03/2008 1:52:00,780,MRF,RECYCLING - SINGLE STREAM,DF1
102371,15/10/2004,RECYCLING - COMINGLE,15/10/2004 12:47:00,2080,MRF,RECYCLING - SINGLE STREAM,DF1
354308,15/01/2010,RECYCLING - SINGLE STREAM,15/01/2010 12:01:00,5520,MRF,RECYCLING - SINGLE STREAM,DF1
217008,02/03/2007,RECYCLING - COMINGLE,02/03/2007 1:21:00,1720,MRF,RECYCLING - SINGLE STREAM,DF1
131016,20/05/2005,RECYCLING - PAPER,20/05/2005 1:25:00,2180,MRF,RECYCLING - SINGLE STREAM,DF1
165238,10/02/2006,RECYCLING - PAPER,10/02/2006 1:27:00,660,MRF,RECYCLING - SINGLE STREAM,DF1
259919,05/01/2008,RECYCLING - COMINGLE,05/01/2008 12:13:00,1120,MRF,RECYCLING - SINGLE STREAM,DF1
195800,22/09/2006,RECYCLING - PAPER,22/09/2006 10:06:00,1800,MRF,RECYCLING - SINGLE STREAM,DF1
135214,24/06/2005,RECYCLING - COMINGLE,24/06/2005 12:32:00,1860,MRF,RECYCLING - SINGLE STREAM,DF1
332586,03/07/2009,RECYCLING - SINGLE STREAM,03/07/2009 8:26:00,5180,MRF,RECYCLING - SINGLE STREAM,DF1
347228,13/11/2009,RECYCLING - SINGLE STREAM,13/11/2009 12:58:00,5260,MRF,RECYCLING - SINGLE STREAM,DF1
119643,25/02/2005,RECYCLING - COMINGLE,25/02/2005 12:22:00,400,MRF,RECYCLING - SINGLE STREAM,DF1
296033,05/09/2008,RECYCLING - COMINGLE,05/09/2008 10:47:00,1340,MRF,RECYCLING - SINGLE STREAM,DF1
149269,14/10/2005,RECYCLING - COMINGLE,14/10/2005 12:04:00,1620,MRF,RECYCLING - SINGLE STREAM,DF1
341189,18/09/2009,RECYCLING - SINGLE STREAM,18/09/2009 10:45:00,5000,MRF,RECYCLING - SINGLE STREAM,DF1
144204,02/09/2005,RECYCLING - PAPER,02/09/2005 1:18:00,1660,MRF,RECYCLING - SINGLE STREAM,DF1
369963,21/05/2010,RECYCLING - SINGLE STREAM,21/05/2010 12:43:00,5640,MRF,RECYCLING - SINGLE STREAM,DF1
241654,31/08/2007,RECYCLING - COMINGLE,31/08/2007 12:15:00,1620,MRF,RECYCLING - SINGLE STREAM,DF1
116169,28/01/2005,RECYCLING - PAPER,28/01/2005 11:42:00,180,MRF,RECYCLING - SINGLE STREAM,DF1
239684,17/08/2007,RECYCLING - PAPER,17/08/2007 10:25:00,1700,MRF,RECYCLING - SINGLE STREAM,DF1
115343,21/01/2005,RECYCLING - PAPER,21/01/2005 1:02:00,1980,MRF,RECYCLING - SINGLE STREAM,DF1
270839,21/03/2008,RECYCLING - COMINGLE,21/03/2008 10:29:00,1800,MRF,RECYCLING - SINGLE STREAM,DF1
370408,21/05/2010,RECYCLING - SINGLE STREAM,21/05/2010 12:00:00,5240,MRF,RECYCLING - SINGLE STREAM,DF1
120498,04/03/2005,RECYCLING - PAPER,04/03/2005 12:40:00,300,MRF,RECYCLING - SINGLE STREAM,DF1
247414,12/10/2007,RECYCLING - PAPER,12/10/2007 11:32:00,1700,MRF,RECYCLING - SINGLE STREAM,DF1
304016,07/11/2008,RECYCLING - SINGLE STREAM,07/11/2008 9:30:00,5540,MRF,RECYCLING - SINGLE STREAM,DF1
270214,14/03/2008,RECYCLING - COMINGLE,14/03/2008 12:33:00,2000,MRF,RECYCLING - SINGLE STREAM,DF1
195801,22/09/2006,RECYCLING - COMINGLE,22/09/2006 2:21:00,1860,MRF,RECYCLING - SINGLE STREAM,DF1
392623,17/12/2010,RECYCLING - SINGLE STREAM,17/12/2010 4:59:00,4080,MRF,RECYCLING - SINGLE STREAM,DF1
378381,13/08/2010,RECYCLING - SINGLE STREAM,13/08/2010 12:25:00,5920,MRF,RECYCLING - SINGLE STREAM,DF1
205001,01/12/2006,RECYCLING - COMINGLE,01/12/2006 10:35:00,1820,MRF,RECYCLING - SINGLE STREAM,DF1
180141,26/05/2006,RECYCLING - PAPER,26/05/2006 12:45:00,1060,MRF,RECYCLING - SINGLE STREAM,DF1
373106,25/06/2010,RECYCLING - SINGLE STREAM,25/06/2010 11:12:00,5380,MRF,RECYCLING - SINGLE STREAM,DF1
248331,19/10/2007,RECYCLING - COMINGLE,19/10/2007 12:33:00,1840,MRF,RECYCLING - SINGLE STREAM,DF1
224026,20/04/2007,RECYCLING - COMINGLE,20/04/2007 11:52:00,1740,MRF,RECYCLING - SINGLE STREAM,DF1
292090,08/08/2008,RECYCLING - COMINGLE,08/08/2008 11:15:00,1660,MRF,RECYCLING - SINGLE STREAM,DF1
238657,10/08/2007,RECYCLING - COMINGLE,10/08/2007 11:24:00,1580,MRF,RECYCLING - SINGLE STREAM,DF1
338086,21/08/2009,RECYCLING - SINGLE STREAM,21/08/2009 3:02:00,1840,MRF,RECYCLING - SINGLE STREAM,DF1
288873,18/07/2008,RECYCLING - PAPER,18/07/2008 10:59:00,1100,MRF,RECYCLING - SINGLE STREAM,DF1
186615,14/07/2006,RECYCLING - PAPER,14/07/2006 11:09:00,1780,MRF,RECYCLING - SINGLE STREAM,DF1
316521,20/02/2009,RECYCLING - SINGLE STREAM,20/02/2009 11:46:00,5140,MRF,RECYCLING - SINGLE STREAM,DF1
363295,02/04/2010,RECYCLING - SINGLE STREAM,02/04/2010 2:40:00,1780,MRF,RECYCLING - SINGLE STREAM,DF1
185034,30/06/2006,RECYCLING - COMINGLE,30/06/2006 12:48:00,300,MRF,RECYCLING - SINGLE STREAM,DF1
313980,30/01/2009,RECYCLING - SINGLE STREAM,30/01/2009 10:46:00,3220,MRF,RECYCLING - SINGLE STREAM,DF1
355122,22/01/2010,RECYCLING - SINGLE STREAM,22/01/2010 1:16:00,860,MRF,RECYCLING - SINGLE STREAM,DF1
261770,18/01/2008,RECYCLING - PAPER,18/01/2008 12:33:00,1180,MRF,RECYCLING - SINGLE STREAM,DF1
212826,26/01/2007,RECYCLING - COMINGLE,26/01/2007 11:20:00,2460,MRF,RECYCLING - SINGLE STREAM,DF1
169051,10/03/2006,RECYCLING - PAPER,10/03/2006 1:18:00,600,MRF,RECYCLING - SINGLE STREAM,DF1
359403,26/02/2010,RECYCLING - SINGLE STREAM,26/02/2010 3:59:00,2100,MRF,RECYCLING - SINGLE STREAM,DF1
221555,30/03/2007,RECYCLING - COMINGLE,30/03/2007 12:16:00,2000,MRF,RECYCLING - SINGLE STREAM,DF1
134525,17/06/2005,RECYCLING - COMINGLE,17/06/2005 1:09:00,1700,MRF,RECYCLING - SINGLE STREAM,DF1
